MatchDate,League,HomeTeam,AwayTeam,Label,SeasonPhase,LeagueId,EloDiff,ProbHome,ProbDraw,ProbAway,RankDifference,HomeCleanSheetRatio,AwayFTSRatio,AttackVsDefense,TotalScoringPotential,TotalDefensiveWeakness,DefenseVsAttack
4/6/2023,ΑΥΠ,Ντρούιτ Τάουν Ρέιντζερς,Σίδνεϊ Ολίμπικ ,0,3,181,-117.6786,0.1891,0.2237,0.5872,2,0,0,1.2312,-0.5,2.0721,0
4/6/2023,n/a,Οριέντε Πετρολέρο,Εστουντιάντες Ντε Λα Πλάτα,1,3,65,28.0612,0.1655,0.2825,0.5521,0,0,0,0.6923,-0.2,0.9938,0
4/6/2023,ΙΤΑ3,Σαν Ντονάτο Ταβαρνέλε,Τσεζένα,1,3,43,-202.6587,0.1696,0.2447,0.5856,2,0,0,1.6216,-0.6,2.2222,0
4/6/2023,ΓΕΡΛ,Άιντραχτ Νόρντερστεντ,Χόλσταϊν Κίελ Β',0,3,17,26.0374,0.4508,0.2499,0.2993,0,0,0,0.7994,0.4,0.7453,0
4/6/2023,n/a,Αλιάνσα,Αγκουίλα,0,3,65,21.1923,0.4037,0.2982,0.2982,1,0,0,2.4778,-0.4,2.1951,0
4/6/2023,ΠΑΝ1,Αράμπε Γιουνίντο,Αλιάνζα (Παν.),0,3,468,-8.6212,0.4006,0.3302,0.2692,0,0,0,0.8368,0,0.8911,0
4/6/2023,ΙΤΑ3,Βις Πεζάρο 1898,Ιμολέζε,0,3,43,3.5359,0.4032,0.326,0.2709,1,0,0,0.3088,-0.7,1.4504,0
4/6/2023,ΙΣΛΚ,Γκρότα,Βέστρι,0,3,243,37.0006,0.4832,0.2342,0.2826,-1,0,0,0.8927,0.5,0.9938,0
4/6/2023,ΓΕΡΛ,Ισχστάτ,Άουμπσταντ,1,3,17,-13.4855,0.439,0.2831,0.2779,-1,0,0,1.6614,1.3,1.0687,0
4/6/2023,n/a,Κόλντινγκ,B 93 Κοπεγχάγη,0,3,65,-48.4429,0.397,0.2706,0.3324,0,0,0,1.2116,-0.2,0.559,0
4/6/2023,ΑΥΠ,Κρόιντον Κινγκς,Αντέλαϊντ Κόμετς,0,3,181,-125.4319,0.3662,0.2536,0.3801,1,0,0,1.2915,-0.4,1.7355,0
4/6/2023,ΒΤΝ2,Μπα Ρία Βουνγκ Τάου,Κουάνγκ Ναμ,0,3,370,23.8921,0.3481,0.2793,0.3727,0,0,0,2.1619,0.5,1.3861,0
4/6/2023,ΓΕΡΛ,Μπάμπελσμπεργκ,Ντιναμό,0,3,17,-58.1847,0.3907,0.2691,0.3402,1,0,0,1.2719,-0.6,1.2871,0
4/6/2023,n/a,Ντανούμπιο,Έμελεκ,0,3,65,-28.8895,0.4169,0.2989,0.2842,0,0,0,1.7558,0.7,0.991,0
4/6/2023,n/a,Πάφος,Ομόνοια,0,3,65,-10.9451,0.465,0.2813,0.2537,0,0,0,0.6151,0,0.7285,0
4/6/2023,ΜΕΞ2,Πούμας ντε Ταμπάσκο ,Ατλέτικο Μορέλια,0,3,11,-144.1652,0.3472,0.2865,0.3663,0,0,0,1.2555,0.1,1.3187,0
4/6/2023,ΜΑΡΟ,Ράζα Καζαμπλάνκα,Γουιντάντ Καζαμπλάνκα,0,3,27,31.8661,0.3838,0.3363,0.2799,0,0,0,2.7466,0,1.1475,0
4/6/2023,ΙΤΑ3,Ρεκαναντέζε ASD,Όλμπια,1,3,43,38.5792,0.4395,0.3109,0.2496,0,0,0,1.8493,-0.2,1.2676,0
4/6/2023,ΙΤΑ3,Ρομπούρ Σιένα,Γκούμπιο,0,3,43,-69.639,0.3299,0.3233,0.3468,2,0,0,1.4226,-0.3,2.1127,0
4/6/2023,ΠΟΛ2,Ρουχ Χορζόφ,Ποντμπεσκίτζιε,0,3,47,61.7465,0.4132,0.2854,0.3015,-1,0,0,1.8793,0,0.989,0
4/6/2023,ΙΝΠΛ,Σανάτ Ναφτ Αμπαντάν,Σανάτ Μες Κέρμαν,0,3,113,-37.4425,0.3483,0.3438,0.3079,0,0,0,0.3947,-0.6,1.5842,0
4/6/2023,ΙΤΑ3,Σανγκιλιάνο Σίτι Νόβα,Γιουβέντους U23,1,3,43,-32.2772,0.434,0.3006,0.2654,-1,0,0,0.789,0.3,0.7801,0
4/6/2023,ΠΑΝ1,Ταούρο,Σπόρτινγκ Σαν Μιγκελίτο,1,3,468,-20.7993,0.4639,0.3053,0.2307,0,0,0,0.9286,-0.4,0.7692,0
4/6/2023,n/a,Τορνς IF,Άνγκελχολμς,0,3,65,-7.1871,0.4399,0.2535,0.3066,1,0,0,0.7087,-0.4,1.2977,0
4/6/2023,n/a,ΦΚ Ροσκίλντε,Θίστιντ,1,3,65,-56.0956,0.3886,0.2669,0.3445,0,0,0,0.6519,0.3,0.9357,0
4/6/2023,n/a,Φορμεντέρα,Μπανταλόνα Φιούτσουρ,0,3,65,-5.7042,0.3453,0.3308,0.3239,0,0,1.5,0.9973,0.1,0.9917,-1.5
4/6/2023,ΓΕΡΛ,Χέρτα Βερολίνου ΙΙ,Τσέμι Λειψίας,0,3,17,-44.7063,0.3813,0.274,0.3447,0,0,0,1.1443,0.3,1.2397,0
4/6/2023,n/a,ΧΙΚ Χέλερουπ,Φρεμ,0,3,65,76.8208,0.4503,0.2653,0.2844,-1,0,0,0.3698,0.2,0.796,0
4/6/2023,ΣΙΓΚ,Χούγκανγκ Γιουν.,Τάνζονγκ Πάγκαρ Γιουν.,1,3,215,35.7231,0.3851,0.2201,0.3948,-1,0,0,0.8654,0.6,1.107,0
4/6/2023,ΣΑΡ,Aλ Φατέχ,Αλ-Καλέζ,0,3,103,88.9055,0.6202,0.2148,0.165,0,0,0,1.1826,0.6,1.4184,0
4/6/2023,n/a,Αμέρικα Μινέιρο,Πενιαρόλ,0,3,65,-52.8041,0.5172,0.2652,0.2176,2,0,0,1.4269,-0.6,1.6484,0
4/6/2023,ΓΕΡΛ,Βάισε Φλένσμπουργκ,Σεντ Πάουλι ΙΙ,1,3,17,65.5593,0.4973,0.245,0.2577,0,0,0,0.9224,0,0.7453,0
4/6/2023,ΒΤΝ1,Βιέττελ ,Χοάνγκ Αν Για Λάι,1,3,202,16.4102,0.4924,0.2664,0.2412,0,0,0,1.4258,0.4,0.6931,0
4/6/2023,n/a,Βίμποργκ,Άαλμποργκ,0,3,65,145.2101,0.526,0.2543,0.2197,0,0,0,1.1686,0.4,0.9272,0
4/6/2023,ΠΟΛ1,Γκόρνικ Ζάμπρζε,Κορόνα Κίελτσε,0,3,55,11.8911,0.5219,0.2625,0.2157,0,0,0,0.7116,-0.2,0.9917,0
4/6/2023,n/a,Μπολιβάρ,Παλμέιρας,0,3,65,-145.7681,0.4811,0.2614,0.2575,0,0,0,4.0982,1.2,1.6393,0
4/6/2023,ΑΝΠΛ,Μπράκνελ Τάουν,Μετροπόλιταν Πολίς,0,3,148,-13.7283,0.6387,0.2078,0.1535,-1,0,0,3.2812,1.8,1.358,0
4/6/2023,ΚΟΚ,Ντεπορτίβο Κάλι,Τζαγκουάρες Ντε Κόρντομπα,0,3,578,-43.0686,0.5069,0.2675,0.2256,1,0,0,0.7953,-0.1,1.4815,0
4/6/2023,ΠΑΝ1,Πλάζα Αμαντόρ,Κόστα Ντελ 'Εστε,0,3,468,-25.1412,0.5383,0.2649,0.1968,0,0,0,0.7222,-0.3,0.8696,0
4/6/2023,ΙΤΑ3,Ποντεντέρα,Ακουίλα Μοντεβάτσι Κάλσιο,0,3,43,128.9725,0.5519,0.2626,0.1855,-1,0,0,0.7369,0.3,0.596,0
4/6/2023,ΓΕΡΛ,Ρέχντεν,Μπλάου Βάις Λον,1,3,17,32.3728,0.5008,0.2455,0.2538,0,0,0,0.6019,-0.2,0.7735,0
4/6/2023,ΙΤΑ3,Ρίμινι 1912,Φιορενζουόλα,0,3,43,46.2728,0.6322,0.2177,0.1501,0,0,0,0.5026,0.4,0.6832,0
4/6/2023,ΑΜΕΚ,Σάρλοτ Ιντιπέντενς,Appalachian FC,0,3,275,86.6174,0.6237,0.2187,0.1576,0,0,0,1.1067,-1.4,0.3483,0
4/6/2023,ΜΕΞ2,Σελάγια,Μινέρος Ντε Ζακατέκας,0,3,11,161.1924,0.5015,0.2533,0.2452,-2,0,0,0.7205,0.1,0.5195,0
4/6/2023,n/a,Σέρο Πορτένιο,Μπαρτσελόνα Σπ. Κλαμπ,0,3,65,142.2089,0.5711,0.2585,0.1704,-1,0,0,1.5049,0.4,1.3514,0
4/6/2023,n/a,Σίλκεμποργκ,Σοντερίσκε,0,3,65,101.7485,0.565,0.2175,0.2175,0,0,0,0.8077,0,0.9938,0
4/6/2023,ΜΕΞ2,Σιμαρόνες Ντε Σονόρα,Τεπατιτλάν ντε Μορέλος,0,3,11,38.8561,0.5094,0.2746,0.2159,0,0,0,0.8973,-0.7,0.7407,0
4/6/2023,n/a,Στουρμ Γκρατς,Λινζ Λασκ,0,3,65,65.9043,0.504,0.2461,0.2499,0,0,0,1.923,0.8,0.7207,0
4/6/2023,ΑΜΕΚ,Φοίνιξ,Γκρίνβιλ Τριούμφ SC,0,3,275,-63.2318,0.5752,0.2316,0.1933,0,0,0,2.2357,0.6,2.9508,0
4/6/2023,ΙΝΠΛ,Φουλάντ Κουζεστάν,Νασαγί Μαζανταράν,0,3,113,110.7728,0.5556,0.2994,0.145,-1,0,0,0.3497,-0.7,0.4678,0
4/6/2023,n/a,Χιμνάσια Λα Πλάτα,Γιουνιβέρσιτι Ντεπόρτες,1,3,65,-69.2948,0.5824,0.2472,0.1704,1,0,0,0.9135,-0.7,2.2535,0
4/6/2023,ΧΙΛ1,Χουατσιπάτο,Ουνιόν Εσπανιόλα,0,3,20,27.7467,0.4978,0.263,0.2392,-1,0,0,1.4847,0.3,1.3861,0
4/6/2023,ΑΙΓΠ,Αλ Ιττιχάντ Αλ Σακαντάρι,Φιούτσερ,1,3,154,-36.9886,0.2582,0.2817,0.4601,-1,0,0,2.3061,0.2,1.8033,0
4/6/2023,ΙΤΑ3,Αλεσάντρια,Ανκόνα Ματέλικα,0,3,43,-52.0876,0.307,0.2903,0.4028,0,0,0,0.4689,-0.6,0.9272,0
4/6/2023,n/a,Αούκας,Φλαμένγκο,0,3,65,-134.9717,0.2741,0.2786,0.4473,0,0,0,0.5046,-1.3,0.5882,0
4/6/2023,n/a,Βανκούβερ Γουάιτκαπς,Λος Άντζελες,1,3,65,-132.4033,0.3014,0.2707,0.428,1,0,0,1.7558,-0.3,0.991,0
4/6/2023,ΓΕΡΛ,Βίζλινγκ,Γκρόιτερ Φιρτ ΙΙ,1,3,17,51.663,0.3234,0.2951,0.3814,-1,0,0,1.1069,0.3,0.8696,0
4/6/2023,ΠΟΛ3,ΓΚΣ Γιάστρεμπι,Κότβιτσα Κολομπρέγκ,0,3,130,-139.3744,0.3367,0.2727,0.3906,0,0,0,1.1073,0.3,1.3514,0
4/6/2023,ΦΕΡ2,ΗΒ Τορσάβν ΙΙ,Κι Κλάκσβικ ΙΙ,1,3,464,-39.5331,0.2284,0.2182,0.5534,0,0,0,1.355,0.1,1.9008,0
4/6/2023,ΓΕΡΛ,Λοκομοτίβ Λειψίας,Αλτγκλιένικε,0,3,17,-77.6486,0.3026,0.2416,0.4557,1,0,0,4.413,-0.3,4.1935,0
4/6/2023,n/a,Μοτάγκα,Τίγκρες,1,3,65,59.5637,0.1989,0.2552,0.5459,0,0,0,0.9197,0.1,1.4414,0
4/6/2023,n/a,Νουμπλένσε,Ρασίνγκ Κλουμπ,1,3,65,-107.8583,0.2177,0.2738,0.5085,1,0,0,1.325,-0.3,1.4286,0
4/6/2023,n/a,Ντεπόρτες Περέιρα,Κόλο Κόλο,0,3,65,-105.3328,0.2891,0.294,0.417,1,0,0,0.5646,-0.6,0.884,0
4/6/2023,ΚΟΚ,Ορσομαρσό,Αλιάντζα Πετρολέρα,0,3,578,-82.7229,0.2404,0.2984,0.4612,0,0,0,0.7079,-0.4,0.8791,0
4/6/2023,n/a,Πατρονάτο Παρανά,Ατλέτικο Νασιονάλ Μεντεγίν,1,3,65,-87.8583,0.2656,0.3085,0.4258,1,0,0,1.305,-0.4,1.4085,0
4/6/2023,ΙΤΑ3,Περγκολετέζε 1932,Βιτσέντζα Βίρτους,0,3,43,25.7418,0.2958,0.3013,0.4029,-1,0,0,1.0048,-0.4,0.3974,0
4/6/2023,n/a,Σκίβε,ΑΒ Γκλαντσάξε,0,3,65,-219.9628,0.223,0.2604,0.5166,2,0,0,0.6137,-1.4,1.5702,0
4/6/2023,ΠΟΛ1,Σλασκ Βρότσλαβ,Πιαστ Γκλίβιτσε,1,3,55,-73.2871,0.2839,0.3335,0.3826,1,0,0,1.2516,-0.2,2.459,0
4/6/2023,n/a,Σολεντούντα,Στοκχόλμη Ιντερνασιονάλε,0,3,65,32.7046,0.2862,0.2492,0.4647,0,0,0,0.9231,0.2,0.6211,0
4/6/2023,n/a,Σπόρτινγκ Κριστάλ,Φλουμινένσε,1,3,65,-85.0349,0.2111,0.2727,0.5162,0,0,0,1.6965,-1,0.8451,0
4/6/2023,ΠΟΛ2,Σχρόμπρι Γκλογκόβ,Σαντέτσια,0,3,47,61.1234,0.3196,0.296,0.3844,-1,0,0,0.7509,0,1.4286,0
4/6/2023,ΙΤΑ3,Τόρες 1903,Καραρέζε,0,3,43,-75.3042,0.3263,0.3112,0.3626,2,0,0,1.4895,-0.7,1.8033,0
4/6/2023,ΑΜΕΚ,Φουέγκο,Μοντερέι Μπέι,0,3,275,10.2616,0.3401,0.2714,0.3885,-1,1.5,0,0.5108,-0.5,0.597,1.5
4/6/2023,ΦΕΡ2,Χόιβικ,Β71 Σαντόι,0,3,464,-104.1737,0.2617,0.2258,0.5125,2,0,0,1.4761,-0.9,2.3423,0
4/6/2023,ΠΟΛ2,Χονισάνσκα Χονίτσε,Νιετσιέτζα,0,3,47,-124.9659,0.2446,0.2653,0.49,2,0,0,1.1055,-0.5,1.6484,0
4/7/2023,ΑΓΝΝ,Γουόρθινγκ,Κονκόρντ Ρέιντζερς,0,3,128,209.2194,0.7386,0.1558,0.1056,-1,0,0,1.1564,1.6,1.3433,0
4/7/2023,ΑΓΓ1,Ίπσουιτς,Γουίκομ,0,3,95,117.8112,0.7195,0.1841,0.0964,-1,1,0,2.2525,0.9,0.4396,1
4/7/2023,ΑΓΝΒ,Κινγκς Λιν,Κέτερινγκ,0,3,123,110.3688,0.6978,0.1913,0.1109,-1,0,0,2.0916,1,1.5493,0
4/7/2023,ΒΕΛ1,Κλαμπ Μπριζ,Σερένγκ,0,3,24,273.3109,0.9106,0.0647,0.0247,-1,0,0,0.4478,0.6,0.5809,0
4/7/2023,ΓΑΛ1,Λανς,Στρασβούργο,0,3,67,191.6705,0.6399,0.2227,0.1374,-1,0,0,1.2662,0.8,0.6832,0
4/7/2023,ΑΓΙΣ,Λούιζ,Χιρνε Μπεϊ,0,3,92,199.0764,0.6583,0.1956,0.1462,-1,0,0,0.7203,0.2,0.6635,0
4/7/2023,ΙΤΑ1,Μίλαν,Έμπολι ,0,3,39,154.2495,0.6972,0.2024,0.1005,-1,0,0,0.8223,0.3,0.4965,0
4/7/2023,ΟΛΛ2,Μπρέντα,Ντεν Μπος,0,3,83,161.6263,0.718,0.1714,0.1105,-1,0,0,0.5827,0.6,0.6158,0
4/7/2023,ΑΓΝΛ,Νοτς Κάουντι,Βέλντστοουν,0,3,122,242.0029,0.8711,0.0935,0.0355,-1,0,0,1.2501,1.4,0.3791,0
4/7/2023,ΙΡΛΠ,Ντέρι Σίτι,Ντροχέντα Γιουν.,1,3,84,217.8453,0.729,0.1805,0.0905,-1,0,0,1.1289,0.8,0.1754,0
4/7/2023,ΑΝΠΛ,Πουλ Τάουν,Νορθ Λι,0,3,148,162.6671,0.696,0.177,0.1271,-1,0,0,1.1468,0,0.4969,0
4/7/2023,ΑΓΝΛ,Σάουθεντ,Μεϊντστόουν Γιουν.,0,3,122,118.6036,0.6785,0.2006,0.1209,0,0,0,0.2652,-0.4,0.6335,0
4/7/2023,ΑΓΓΤ,Σέφιλντ Γιουνάιτεντ,Γουίγκαν,0,3,89,224.1495,0.7182,0.1904,0.0914,-1,0,0,1.2144,0.5,1.0891,0
4/7/2023,ΑΓΓΤ,Στόουκ Σίτι,Μπρίστολ Σίτι,1,3,89,42.369,0.6449,0.2232,0.132,-1,0,0,1.7501,1.3,0.7207,0
4/7/2023,ΑΓΝΛ,Τσέστερφιλντ,Γιορκ Σίτι,1,3,122,139.6779,0.6948,0.1897,0.1155,-1,0,0,1.1288,0.3,0.5785,0
4/7/2023,ΑΝΠΛ,Τσέσχαμ Γιουν.,Ντόρτσεστερ Tάουν,0,3,148,184.3176,0.6882,0.1867,0.1251,-1,0,0,0.889,1.2,0.6926,0
4/7/2023,ΜΑΡΟ,ΦΑΡ Ραμπάτ,Τσαμπάμπ Μοχαμέντια ,0,3,27,216.6439,0.7764,0.1506,0.073,-1,0,0,2.777,1.3,0.8451,0
4/7/2023,ΚΡΟ1,Χάιντουκ,Ίστρα 1961,0,3,174,161.7024,0.7109,0.1879,0.1012,-1,0,0,1.6106,0.7,1.6216,0
4/7/2023,ΙΣΡ2,Χάποελ Ραμάτ Γκαν,Άσντοτ,0,3,85,78.2399,0.6851,0.1964,0.1185,-1,0,0,0.3659,0.2,0.543,0
4/7/2023,ΙΡΛΠ,Γιου Σι Ντι,Σέλμπουρν Δουβλίνου,0,3,84,-83.8435,0.1173,0.2236,0.6591,1,0,0,0.6075,-0.2,1.7355,0
4/7/2023,ΙΡΛ1,Γουέξφορντ Γιουθς,Γκάλγουεϊ Γιουνάιτεντ,1,3,204,-144.4889,0.1247,0.1985,0.6768,1,0,0,1.2061,-1.2,1.1712,0
4/7/2023,ΙΡΛ1,Κέρι,Φιν Χαρπς,0,3,204,-3.1481,0.1915,0.223,0.5855,0,0,0,0.3708,-0.1333,1.4925,0
4/7/2023,n/a,Κλαμπ Τακουάρι,Μπραγκαντίνο,1,3,65,-147.2921,0.1014,0.1799,0.7187,1,0,0,0.643,-0.8,1.5842,0
4/7/2023,ΙΡΛ1,Κόμπ Ράμπλερς,Γουότερφορντ Γιουνάιτεντ ,1,3,204,-183.368,0.1246,0.1931,0.6822,1,0,0,1.5077,-0.9,1.2613,0
4/7/2023,ΙΤΑ1,Λέτσε,Νάπολι,1,3,39,-321.5568,0.1512,0.2666,0.5822,2,0,0,1.1308,-1.5,2.549,0
4/7/2023,n/a,Μονάγκας,Μπόκα Τζούνιορς,0,3,65,-225.0414,0.1349,0.2388,0.6263,1,0,0,1.325,-0.3,2.7473,0
4/7/2023,ΑΓΓ1,Μόρκαμ,Πλίμουθ,1,3,95,-246.6244,0.1994,0.2417,0.5588,2,0,0,0.3237,-1.1,1.2583,0
4/7/2023,ΕΛΒ2,Μπελιντσόνα,Λωζάνη,0,3,73,-148.578,0.1608,0.2257,0.6135,2,0,0,0.2393,-1.7,1.6031,0
4/7/2023,ΟΥΑΛ,Πενρινκοσχ,Κόλβιν Μπέι,1,3,553,-295.9636,0.0031,0.0291,0.9678,2,0,0,0.7483,-2,1.6312,0
4/7/2023,ΙΤΑ1,Σαλερνιτάνα,Ίντερ,0,3,39,-285.7217,0.1428,0.2302,0.627,1,0,0,1.2212,0.1,1.831,0
4/7/2023,ΑΥΠ,Σπίριτ,Μαρκόνι Στάλιονς,1,3,181,-60.4425,0.15,0.191,0.6589,0,0,0,1.2557,-0.8,1.7822,0
4/7/2023,ΓΕΡΛ,Τένις Μπορούσια Βερολίνου,Έρφουρτ,1,3,17,-183.9393,0.0825,0.145,0.7725,2,0,0,0.4892,-0.9,1.9802,0
4/7/2023,ΟΛΛ2,ΦΚ Αϊντχόφεν,Τσβόλε,0,3,83,-151.6346,0.1751,0.2122,0.6126,2,0,0,1.031,-2,1.9802,0
4/7/2023,ΑΓΓ1,Φόρεστ Γκριν Ρόβερς,Ντέρμπι,1,3,95,-148.6813,0.1573,0.2472,0.5955,1,0,0,0.2859,-0.7,0.9942,0
4/7/2023,ΑΓΝΛ,Χάλιφαξ,Ρέξαμ,0,3,122,-272.8737,0.1015,0.1813,0.7173,1,0,0,1.2852,-1.6,0.6593,0
4/7/2023,ΑΝΠΛ,Χάροου Μπόρο,Τρούρο Σίτι,1,3,148,-251.4254,0.1692,0.2058,0.625,1,0,0,0.6259,-0.7,1.6794,0
4/7/2023,n/a,Ακαντέμια Πουέρτο Καμπέλο,Τολίμα,1,3,65,-87.4148,0.3723,0.3036,0.324,0,0,0,0.8361,-0.1,0.7207,0
4/7/2023,ΜΠΑK,Αλ Αχλί Μάναμα,Αλ Χαλά Μουχαράκ,1,3,571,129.8302,0.3724,0.3233,0.3043,0,0,0,0.6712,0.4,1.1881,0
4/7/2023,ΑΝΠΛ,'Αλβετσερτς,Νίντχαμ Μάρκετ,0,3,148,70.92,0.4397,0.2575,0.3028,-1,0,0,1.1854,0.5,0.8264,0
4/7/2023,ΑΥΣΛ,Αντελάιντ Γιουνάιτεντ,Σίδνεϊ,0,3,12,81.4512,0.4132,0.2439,0.3429,-1,0,0,1.855,1.7,1.118,0
4/7/2023,ΙΣΠ2,Βιγιαρεάλ Β',Μάλαγα,1,3,42,90.7516,0.4351,0.2872,0.2777,-1,0,0,1.1942,0.2,1.0989,0
4/7/2023,ΟΚΡΝ,Βόρσκλα Πολτάβα,Ινγκουλέτς,0,3,59,46.2024,0.4273,0.2838,0.2889,0,0,0,0.9834,0,0.9924,0
4/7/2023,ΣΟΥ2,Γκάις,Μπράγκε,0,3,77,122.8789,0.4062,0.2834,0.3104,-2,0,0,1.1491,0.2,0.4255,0
4/7/2023,ΑΖΕΠ,Γκαμπάλα,Ζίρα,0,3,57,32.114,0.3845,0.2821,0.3334,-1,0,0,1.1738,0.3,1.2977,0
4/7/2023,ΟΥΑΛ,Γκρέσφορντ Αθλέτικ,Πόρθμαντογκ,0,3,553,36.4683,0.4884,0.2493,0.2624,-1,0,0,0.4119,0.1,0.6061,0
4/7/2023,ΑΓΓ1,Έξετερ Σίτι,Μπόλτον,1,3,95,-54.7212,0.3502,0.2967,0.3531,0,0,0,1.9272,-0.4,1.2346,0
4/7/2023,ΣΛΟ1,Ζελεζιάρνε Ποντμπρεζόβα,Ζίλινα,0,3,133,-24.4584,0.4247,0.2649,0.3104,1,0,0,1.1279,-0.5,1.374,0
4/7/2023,ΑΥΣ2,Κάπφενμπεργκ,Άμστετεν,0,3,80,-63.0303,0.3652,0.2563,0.3785,-2,0,0,0.8896,0.5,0.6635,0
4/7/2023,ΑΓΓ1,Κέμπριτζ Γιουν.,Φλίτγουντ,0,3,95,-121.7419,0.4349,0.2921,0.2729,1,0,0,0.7227,-0.3,1.4815,0
4/7/2023,ΑΓΝΒ,Κιντερμίνστερ,Μπάξτον,0,3,123,-69.8201,0.4586,0.2753,0.2661,2,0,0,0.3927,-1.6,0.8911,0
4/7/2023,ΒΙΡΛ,Κλίφτονβιλ,Κολερέιν,0,3,121,62.8323,0.4196,0.2928,0.2876,0,0,0,1.505,0.8,0.916,0
4/7/2023,ΤΟΥ1,Κόνιασπορ,Ανταλιασπόρ,0,3,18,-86.3931,0.3941,0.3002,0.3056,1,0,0,0.6213,-0.2,1.1921,0
4/7/2023,ΟΥΑΛ,Κόνουι Μπορό,Χόλιχεντ Χότσπουρ,0,3,553,16.202,0.4569,0.2428,0.3003,0,0,0,0.4978,0,0.9948,0
4/7/2023,ΑΓΓΤ,ΚΠΡ,Πρέστον ,1,3,89,-160.7985,0.4163,0.309,0.2746,1,0,0,0.6448,-0.3,2.0721,0
4/7/2023,ΒΙΡΛ,Λαρν,Γκλεντόραν,0,3,121,7.9486,0.4464,0.3096,0.244,0,0,0,1.9429,-0.6,0.6173,0
4/7/2023,ΑΓΝΒ,Λέμινγκτον,Χέρεφορντ,0,3,123,-54.322,0.3783,0.2899,0.3319,1,0,0,0.8199,0.3,1.405,0
4/7/2023,ΟΥΑΛ,Λιανιντλοές Τάουν,Μολντ Άλεξ,0,3,553,-40.1412,0.4556,0.2455,0.2989,0,0,0,1.051,0.4,0.9424,0
4/7/2023,ΑΓΓ1,Λίνκολν Σίτι,Τσέλτεναμ Τάουν,0,3,95,0.4535,0.4098,0.3081,0.282,1,0,0,0.4852,-0.4,0.7801,0
4/7/2023,ΒΙΡΛ,Λίνφιλντ,Κρουσέιντερς,0,3,121,47.9801,0.4662,0.2779,0.2558,0,1,0,3.1572,0.9,0.6173,1
4/7/2023,ΕΛΛ2,Μακεδονικός,Αλμωπός Αριδαίας,0,3,180,-58.3544,0.4269,0.3287,0.2444,1,0,0,1.7023,0.1,2.7869,0
4/7/2023,ΟΥΓ1,Μεζοκόβεσντ Ζόρι,Ντέμπρετσεν,1,3,126,-4.9429,0.3835,0.2752,0.3413,0,0,0,0.7143,-0.3,0.6107,0
4/7/2023,n/a,Μέλγκαρ,Κλαμπ Ολίμπια,0,3,65,-133.7017,0.3572,0.3036,0.3392,1,0,0,0.6379,-0.8,0.916,0
4/7/2023,ΑΓΓΤ,Μίλγουολ,Λούτον,0,3,89,-56.541,0.3366,0.3241,0.3393,1,0,0,2.0068,0.1,1.8033,0
4/7/2023,ΑΓΓΤ,Μίντλεσμπρο,Μπέρνλι,1,3,89,-124.7345,0.3643,0.2788,0.3569,0,0,0,3.0318,1.3,1.2088,0
4/7/2023,ΑΓΝΝ,Μπαθ Σίτι,Τάντον Τάουν,1,3,128,10.0621,0.4791,0.2797,0.2412,-1,0,0,1.0025,0.3,0.6383,0
4/7/2023,ΑΝΠΛ,Μπίκονσφιλντ Σίκομπ,Μέρθιρ Τάουν,1,3,148,68.361,0.4541,0.249,0.2969,0,0,0,1.4542,0.4,1.2057,0
4/7/2023,ΑΓΓΤ,Μπλάκμπερν Ρόβερς,Νόργουιτς Σίτι,1,3,89,24.3367,0.3802,0.2835,0.3363,-1,0,0,1.8915,0.3,1.358,0
4/7/2023,ΑΓΓΤ,Μπλάκπουλ,Κάρντιφ,1,3,89,-7.0529,0.3543,0.2956,0.35,0,0,0,0.8589,0.2,1.2214,0
4/7/2023,ΠΟΡΤ,Μποαβίστα,Γκιμαράες,0,3,119,-130.3623,0.3777,0.301,0.3213,1,0,0,1.0246,0.1,1.6216,0
4/7/2023,ΤΟΥ2,Μπολουσπόρ,Μποντρουμσπόρ,1,3,38,26.478,0.3473,0.2788,0.3739,0,0,0,1.477,0.1,1.8018,0
4/7/2023,ΑΓΝΒ,Μπόστον Γιουν.,Φάρσλεϊ,0,3,123,29.7512,0.4685,0.2613,0.2702,-1,0,0,1.2509,0.4,0.6306,0
4/7/2023,ΙΡΛ1,Μπρέι Γουόντερερς,Άθλοουν Τάουν,0,3,204,-0.1124,0.4231,0.2702,0.3067,0,0,0,0.8028,-0.3,0.9945,0
4/7/2023,ΑΓΓ1,Μπρίστολ Ρόβερς,Τσάρλτον,0,3,95,-106.1479,0.3909,0.2726,0.3365,1,0,0,0.8581,-0.7,1.6484,0
4/7/2023,ΠΟΡ2,Νασιονάλ Μαδέιρα,Ολιβεϊρένσε,1,3,135,55.8254,0.4058,0.2782,0.316,0,0,0,1.2538,0.4,1.2057,0
4/7/2023,ΚΥΠ1,Νέα Σαλαμίνα,Καρμιώτισσα Πολεμιδιών,0,3,71,24.3945,0.4553,0.2628,0.2819,-1,0,0,0.9422,0.4,0.9948,0
4/7/2023,ΑΓΓ2,Νιούπορτ Κάουντι,Νορθάμπτον Τάουν,0,3,88,-51.6132,0.3432,0.3136,0.3432,1,0,0,2.2288,0.1,2.3529,0
4/7/2023,ΙΡΛΠ,Νταντάλκ,Σλίγκο Ρόβερς,1,3,84,-10.0048,0.3915,0.2941,0.3144,0,0,0,1.3668,0.7,1.2397,0
