MatchDate,League,HomeTeam,AwayTeam,Label,SeasonPhase,LeagueId,EloDiff,ProbHome,ProbDraw,ProbAway,RankDifference,HomeCleanSheetRatio,AwayFTSRatio,AttackVsDefense,TotalScoringPotential,TotalDefensiveWeakness,DefenseVsAttack
9/9/2022,ΓΕΡΛ,Λοκομοτίβ Λειψίας,Ντιναμό,0,1,17,3.4242,0.3902,0.2587,0.3511,0,0,0,2.4369,1.2,1.7284,0
9/9/2022,ΝΑΦ1,Μάριτζμπουργκ Γ.,Σούπερσπορτ Γιουν.,1,1,107,-66.6071,0.3793,0.3551,0.2655,0,0,0,0.8833,0,0.9901,0
9/9/2022,ΜΑΡΟ,Μαχρίμπ  Τετουάν,Ιττιχαντ,0,1,27,50.9269,0.4201,0.3197,0.2602,0,0,0,1.1415,0.8,1.9008,0
9/9/2022,ΜΑΑΛ,Μελάκα,Κένταχ,1,1,345,-132.3472,0.365,0.2525,0.3825,1,0,0,0.7229,-0.8,1.4184,0
9/9/2022,ΒΕΛ2,Μπεερσχότ Βιλρίτζκ,Λόμελ Γιουν.,1,1,78,20.2056,0.482,0.2467,0.2713,1,0,0,1.1423,0.3,1.374,0
9/9/2022,ΤΟΥ2,Μπολουσπόρ,Γκεζτέπε,0,1,38,6.3383,0.4275,0.2813,0.2912,-1,0,0,0.5372,0,0.4712,0
9/9/2022,ΡΟΥ1,Μποτοσάνι,Αράντ,1,1,52,-6.5205,0.3537,0.3201,0.3263,0,0,0,0.7994,-0.1,0.9009,0
9/9/2022,ΓΑΛ3,Νανσί,Λε Μαν,0,1,162,-102.7136,0.4567,0.2672,0.2761,1,0,0,0.7552,-0.2,1.2397,0
9/9/2022,ΟΛΛ2,Ντε Γκράαφτσαπ,Μπρέντα,0,1,83,-150.1206,0.4642,0.2548,0.281,2,0,0,1.0325,-0.2,1.3514,0
9/9/2022,ΚΟΛ2,Ντεπόρτες Κίντιο,Τσίκο,0,1,182,20.6471,0.4108,0.3052,0.284,0,0,0,2.9852,0.3,1.4754,0
9/9/2022,ΣΛΝ1,Ντομζάλε ,Ραντόμλζε,0,1,32,87.9108,0.4503,0.268,0.2817,-1,0,0,0.8888,0.3,1.2214,0
9/9/2022,ΑΥΣ2,Ντόρνμπερν,Κάπφενμπεργκ,0,1,80,59.6444,0.4495,0.2546,0.2959,-1,0,0,0.4923,0.2,0.5364,0
9/9/2022,ΓΕΡ2,Νυρεμβέργη,Αρμίνια Μπίλεφελντ,0,1,64,-45.2197,0.4167,0.2625,0.3208,1,0,0,0.979,-0.4,1.457,0
9/9/2022,ΟΛΛ2,Ουτρέχτη B',Χέλμοντ Σπορ,0,1,83,73.8668,0.3909,0.2726,0.3365,0,0,0,0.4615,-0.4,1.0497,0
9/9/2022,ΓΕΡΛ,Πίπινσριντ,Βικτόρια Ασχάφενμπουργκ,1,1,17,14.5955,0.4143,0.2589,0.3268,0,0,0,1.1144,0.5,1.0596,0
9/9/2022,ΙΤΑ3,Πορντενόνε,Γιουβέντους U23,0,1,43,-178.6189,0.447,0.2883,0.2647,2,0,0,0.8535,-0.6,2.1127,0
9/9/2022,ΠΟΛ2,Ρουχ Χορζόφ,Ζαγκλέμπιε Σοσνόβιετς,0,1,47,65.6973,0.4376,0.2934,0.269,-1,0,0,1.5477,0.2,0.8791,0
9/9/2022,ΓΑΛ3,Σατορού,Μπουργκ Περόνας,1,1,162,-12.0917,0.3999,0.2866,0.3136,-1,0,0,1.1748,0,0.7438,0
9/9/2022,ΙΡΛΠ,Σέλμπουρν Δουβλίνου,Σλίγκο Ρόβερς,1,1,84,-72.8474,0.3393,0.3026,0.3581,1,0,0,1.2414,0.1,0.8108,0
