@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE class {1.00,0.00}

@DATA
1.000000,1.000000,0.000000,689.000000,178.000000,133.000000,0.000000,1.500000,1.500000,0.945400,0.000000,0.991700,0.000000,0.00
1.000000,2.000000,0.000000,0.862400,0.086600,51.000000,0.000000,1.500000,1.500000,989.000000,0.000000,0.991700,0.000000,0.00
1.000000,3.000000,0.000000,0.887100,0.073200,0.039700,0.000000,1.500000,1.500000,0.908100,0.000000,0.991700,0.000000,1.00
1.000000,4.000000,0.000000,748.000000,0.182800,0.069300,0.000000,1.500000,1.500000,0.988400,0.000000,0.991700,0.000000,0.00
1.000000,5.000000,0.000000,711.000000,0.177200,0.111700,0.000000,1.500000,1.500000,1.021600,0.000000,0.991700,0.000000,0.00
1.000000,6.000000,0.000000,0.183600,0.237200,0.579200,0.000000,1.500000,1.500000,0.968600,0.000000,0.991700,0.000000,1.00
1.000000,2.000000,0.000000,0.183100,0.180600,0.636300,0.000000,1.500000,1.500000,989.000000,0.000000,0.991700,0.000000,0.00
1.000000,7.000000,0.000000,0.395100,0.284200,0.320700,0.000000,1.500000,1.500000,0.996300,0.000000,0.991700,0.000000,0.00
1.000000,8.000000,0.000000,0.339600,0.304800,0.355600,0.000000,1.500000,1.500000,1.003200,0.000000,0.991700,0.000000,0.00
1.000000,9.000000,0.000000,0.464500,0.267800,0.267800,0.000000,1.500000,1.500000,0.984400,0.000000,0.991700,0.000000,0.00
1.000000,10.000000,0.000000,0.461700,0.303700,0.234600,0.000000,1.500000,1.500000,0.995800,0.000000,0.991700,0.000000,0.00
1.000000,11.000000,0.000000,465.000000,0.289200,0.245800,0.000000,1.500000,1.500000,1.030700,0.000000,0.991700,0.000000,0.00
1.000000,11.000000,0.000000,0.342300,0.307500,0.350200,0.000000,1.500000,1.500000,1.030700,0.000000,0.991700,0.000000,0.00
1.000000,1.000000,0.000000,0.366200,0.306900,0.326900,0.000000,1.500000,1.500000,0.945400,0.000000,0.991700,0.000000,0.00
1.000000,1.000000,0.000000,0.478600,0.258400,263.000000,0.000000,1.500000,1.500000,0.945400,0.000000,0.991700,0.000000,0.00
1.000000,12.000000,0.000000,0.424600,0.270800,0.304600,0.000000,1.500000,1.500000,0.986200,0.000000,0.991700,0.000000,1.00
1.000000,1.000000,0.000000,0.475300,0.255200,0.269500,0.000000,1.500000,1.500000,0.945400,0.000000,0.991700,0.000000,0.00
1.000000,13.000000,0.000000,0.415900,0.263700,0.320400,0.000000,1.500000,1.500000,0.935300,0.000000,0.991700,0.000000,0.00
